iter	Logloss	Accuracy
0	0.6336538638	0.9318423855
1	0.57968731	0.9371671991
2	0.5336771489	0.939829606
3	0.4913905748	0.9382321619
4	0.4554933713	0.9387646432
5	0.424409047	0.9430244941
6	0.395385997	0.9424920128
7	0.3688843315	0.9435569755
8	0.3474006728	0.9446219382
9	0.3266862728	0.9440894569
10	0.3112488181	0.9451544196
11	0.2951627977	0.9451544196
12	0.2817357151	0.9467518637
13	0.2686130148	0.945686901
14	0.2579711349	0.9462193823
15	0.2480366345	0.9462193823
16	0.2390854325	0.9467518637
17	0.2313376436	0.9467518637
18	0.2238916891	0.9467518637
19	0.2179052643	0.947284345
20	0.2122612891	0.9467518637
21	0.2071749788	0.9462193823
22	0.2019515843	0.945686901
23	0.197354155	0.945686901
24	0.193585764	0.945686901
25	0.190061653	0.9451544196
26	0.1869566049	0.9462193823
27	0.1838809412	0.945686901
28	0.1809123049	0.945686901
29	0.1781334681	0.9467518637
30	0.175682977	0.9467518637
31	0.1733419697	0.9478168264
32	0.1706594928	0.9494142705
33	0.1682473415	0.9499467519
34	0.1664574849	0.9494142705
35	0.1644459491	0.9499467519
36	0.1625932517	0.9504792332
37	0.1608013864	0.9504792332
38	0.1595119035	0.9510117146
39	0.158327932	0.9510117146
40	0.1569378006	0.951544196
41	0.1557319274	0.9504792332
42	0.1546194606	0.9510117146
43	0.1534930177	0.9504792332
44	0.1523211551	0.9510117146
45	0.151306339	0.951544196
46	0.1501619566	0.951544196
47	0.1496973601	0.951544196
48	0.148696097	0.951544196
49	0.1476203508	0.951544196
50	0.1469952838	0.951544196
51	0.1462947679	0.9510117146
52	0.1456718068	0.9510117146
53	0.1448508739	0.9520766773
54	0.1444403632	0.9520766773
55	0.1435030564	0.9520766773
56	0.1427367941	0.9520766773
57	0.1419785642	0.9520766773
58	0.1414479005	0.9520766773
59	0.1407610839	0.95314164
60	0.1400506701	0.95314164
61	0.1394718864	0.9536741214
62	0.1390478682	0.9536741214
63	0.1386578894	0.9536741214
64	0.1383054439	0.9536741214
65	0.1375226104	0.9536741214
66	0.1366492465	0.9536741214
67	0.1362514637	0.9536741214
68	0.1356955461	0.9542066028
69	0.1351851778	0.9542066028
70	0.1344612462	0.9542066028
71	0.1344150861	0.9542066028
72	0.1339225706	0.9542066028
73	0.1334084966	0.9547390841
74	0.1330130385	0.9542066028
75	0.1325808599	0.9552715655
76	0.1321095187	0.9547390841
77	0.1317788909	0.9547390841
78	0.1312259708	0.9547390841
79	0.1306591366	0.9552715655
80	0.1304095504	0.9552715655
81	0.1300051529	0.9563365282
82	0.1297477823	0.9563365282
83	0.1292984159	0.9563365282
84	0.1289716953	0.9563365282
85	0.1288348266	0.9563365282
86	0.1286713114	0.9563365282
87	0.1284873274	0.9563365282
88	0.1280779248	0.9568690096
89	0.1276917588	0.9568690096
90	0.127341754	0.9568690096
91	0.1270693911	0.9568690096
92	0.1266979607	0.9568690096
93	0.1263639738	0.9568690096
94	0.1258913057	0.9568690096
95	0.1254931583	0.9568690096
96	0.1253817943	0.9568690096
97	0.1252387895	0.9568690096
98	0.124929113	0.9568690096
99	0.1245061662	0.9568690096
100	0.1243100961	0.9568690096
101	0.1239447665	0.9568690096
102	0.1237891518	0.9568690096
103	0.123678352	0.9568690096
104	0.123383997	0.9568690096
105	0.1231943466	0.9568690096
106	0.122826386	0.9574014909
107	0.1224605992	0.9574014909
108	0.1223113204	0.9574014909
109	0.1220391443	0.9574014909
110	0.1216366561	0.9574014909
111	0.1212793069	0.9579339723
112	0.1207807299	0.9579339723
113	0.1206544307	0.9579339723
114	0.1202062265	0.9584664537
115	0.1200142506	0.9584664537
116	0.1199517089	0.9584664537
117	0.119796903	0.9584664537
118	0.119602065	0.9584664537
119	0.1192505936	0.9579339723
120	0.1187504167	0.9595314164
121	0.1184841419	0.9600638978
122	0.1182307748	0.9600638978
123	0.1179002101	0.9600638978
124	0.1178111095	0.9600638978
125	0.1175367676	0.9600638978
126	0.1173886777	0.9600638978
127	0.1172233763	0.9600638978
128	0.1170039847	0.9600638978
129	0.1166712929	0.9600638978
130	0.1166005612	0.9600638978
131	0.1162236342	0.9600638978
132	0.1160536826	0.9600638978
133	0.1159271901	0.9600638978
134	0.1156876908	0.9600638978
135	0.1155701424	0.9600638978
136	0.115178346	0.9605963791
137	0.115030192	0.9605963791
138	0.1146419743	0.9605963791
139	0.1143147314	0.9605963791
140	0.1140813338	0.9605963791
141	0.1136992968	0.9605963791
142	0.1134437491	0.9605963791
