iter	Passed	Remaining
0	53	53110
1	71	35444
2	73	24405
3	76	19072
4	80	15941
5	83	13822
6	86	12258
7	89	11071
8	92	10130
9	94	9375
10	97	8723
11	99	8178
12	101	7727
13	103	7323
14	106	6972
15	108	6666
16	110	6389
17	112	6149
18	114	5924
19	116	5721
20	118	5535
21	120	5364
22	122	5212
23	124	5069
24	126	4941
25	128	4820
26	130	4709
27	132	4604
28	134	4510
29	136	4416
30	138	4331
31	140	4250
32	142	4173
33	144	4102
34	146	4032
35	148	3968
36	150	3908
37	152	3854
38	154	3807
39	157	3774
40	160	3743
41	162	3714
42	165	3687
43	168	3658
44	170	3623
45	173	3593
46	175	3562
47	178	3532
48	180	3503
49	182	3474
50	185	3446
51	187	3421
52	190	3396
53	192	3368
54	194	3342
55	196	3318
56	199	3297
57	201	3271
58	203	3247
59	205	3225
60	208	3203
61	210	3180
62	212	3160
63	214	3141
64	217	3125
65	219	3110
66	222	3096
67	224	3081
68	227	3067
69	229	3050
70	232	3037
71	233	3006
72	235	2991
73	237	2977
74	240	2963
75	242	2949
76	244	2935
77	247	2924
78	249	2909
79	251	2894
80	253	2881
81	256	2872
82	258	2860
83	261	2846
84	263	2834
85	265	2820
86	267	2808
87	269	2797
88	272	2786
89	274	2775
90	276	2763
91	278	2752
92	281	2744
93	283	2732
94	285	2722
95	287	2711
96	290	2700
97	292	2690
98	294	2680
99	296	2670
100	299	2661
101	301	2653
102	303	2643
103	305	2634
104	308	2626
105	310	2619
106	312	2611
107	315	2603
108	317	2594
109	319	2587
110	322	2583
111	325	2578
112	327	2571
113	330	2566
114	332	2559
115	335	2553
116	337	2547
117	340	2541
118	342	2536
119	344	2529
120	347	2522
121	349	2514
122	351	2509
123	354	2504
124	357	2500
125	360	2497
126	362	2492
127	364	2485
128	367	2480
129	369	2474
130	372	2468
131	374	2463
132	376	2456
133	379	2449
134	381	2443
135	383	2437
136	386	2431
137	388	2424
138	390	2417
139	392	2411
140	394	2406
141	397	2401
142	399	2395
143	402	2390
144	404	2384
145	406	2377
146	408	2371
147	410	2365
148	412	2358
149	414	2350
150	416	2343
151	418	2336
152	420	2329
153	422	2321
154	424	2314
155	426	2307
156	429	2304
157	431	2298
158	434	2297
159	436	2292
160	438	2286
161	440	2280
162	443	2275
163	445	2269
164	447	2264
165	449	2257
166	451	2251
167	453	2247
168	455	2242
169	457	2235
170	459	2228
171	461	2222
172	463	2216
173	465	2209
174	467	2203
175	469	2197
176	471	2191
177	473	2185
178	475	2180
179	477	2173
180	479	2167
181	481	2161
182	482	2155
183	484	2149
184	487	2146
185	489	2143
186	492	2142
187	495	2141
188	498	2139
189	501	2137
190	504	2136
191	506	2132
192	509	2129
193	512	2127
194	514	2125
195	517	2122
196	519	2119
197	522	2115
198	524	2112
199	527	2109
200	530	2108
201	532	2104
202	534	2100
203	537	2095
204	539	2091
205	541	2087
206	544	2086
207	547	2083
208	549	2079
209	551	2075
210	553	2070
211	555	2066
212	558	2062
213	560	2057
214	562	2054
215	564	2050
216	567	2048
217	569	2044
218	572	2040
219	574	2036
220	576	2031
221	578	2028
222	580	2024
223	583	2020
224	585	2016
225	587	2012
226	590	2009
227	592	2006
228	594	2002
229	596	1998
230	599	1994
231	601	1990
232	603	1986
233	605	1983
234	607	1979
235	610	1975
236	612	1971
237	614	1967
238	616	1963
239	619	1960
240	621	1956
241	623	1952
242	625	1949
243	627	1945
